Perceived_Hearing_Meaning,Hearing_FOMO,Hearing_Test_Barrier,Missed_Important_Sounds,Left_Out_Due_To_Hearing,Daily_Headphone_Use,Belief_Early_Hearing_Care,Last_Hearing_Test_Method,Interest_in_Hearing_App,Desired_App_Features,Awareness_on_hearing_and_Willingness_to_invest,Paid_App_Test_Interest,Age_group,Ear_Discomfort_After_Use,Missed_Important_Sounds_clean,Interest_in_Hearing_App_clean,Last_Hearing_Test_Method_clean,Paid_App_Test_Interest_clean
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)","Yes, often",2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Detailed report generation, Doctor consultation",Yes,"Yes, definitely",18 - 24,Occasionally,Yes,Yes,Never,Yes
Feeling close to loved ones,Never,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Yes,Never,Maybe
I haven't thought about it much,Never,Never really thought about it,"No, I usually hear things well",Never,More than 4 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,Yes,"Yes, definitely",18 - 24,No,No,Maybe,Never,Yes
I haven't thought about it much,Rarely,"Lack of awareness, ","Yes, in family conversations",Sometimes,1-2 hours,4,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Doctor consultation, Soft guidance",No,"Yes, definitely",18 - 24,Occasionally,Yes,No,Never,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,2-4 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation",No,"No, I prefer getting tested at a hospital",18 - 24,Not sure,No,Maybe,Never,No
I haven't thought about it much,Sometimes,Cost,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Game-based interaction, Earphone calibration",No,"No, I prefer getting tested at a hospital",18 - 24,No,No,No,Never,No
Staying connected with the world,Sometimes,Cost,"Yes, during important work or school meetings",Sometimes,Less than 1 hour,2,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Doctor consultation",No,"No, I prefer getting tested at a hospital",35 - 44,No,Yes,No,Never,No
"Enjoying music, laughter, and life",Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,Less than 1 hour,5,At a hospital or clinic,"No, I don't think it's necessary","Game-based interaction, Regular testing reminders, Doctor consultation, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Maybe,No,Clinically-tested,No
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,2-4 hours,2,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
Staying connected with the world,Sometimes,Fear,"No, I usually hear things well",Never,1-2 hours,5,Mobile app,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",25 - 34,No,No,Maybe,Self-tested,Maybe
"Enjoying music, laughter, and life",Never,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Game-based interaction, Earphone calibration, Doctor consultation, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,No,No,Never,No
"Enjoying music, laughter, and life, Staying connected with the world",Never,Never,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"No, I don't think it's necessary",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,No,No,Never,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,I didn't get any issues ,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Earphone calibration, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",35 - 44,No,No,Yes,Never,No
Staying connected with the world,Never,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,3,I've never taken a hearing test,"No, I don't think it's necessary","Regular testing reminders, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,No,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life",Rarely,Fear,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary",Doctor consultation,Yes,"Yes, definitely",45 - 54,Occasionally,Yes,No,Never,Yes
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Never,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Yes, definitely",18 - 24,No,No,Maybe,Never,Yes
"Enjoying music, laughter, and life",Never,Lack of awareness,"Yes, in family conversations",Never,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"Yes, definitely",25 - 34,No,Yes,Maybe,Never,Yes
Staying connected with the world,Never,Not needed till now,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary","Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation",Yes,"No, I prefer getting tested at a hospital",35 - 44,Yes,No,No,Never,No
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in family conversations",Only in noisy places,1-2 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Yes,Never,No
Feeling close to loved ones,Sometimes,Fear,"I'm not sure, but I have felt disconnected",Sometimes,More than 4 hours,3,At a hospital or clinic,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,No,Maybe,Maybe,Clinically-tested,No
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Think its perfect to me,"Yes, in public spaces (trains, shops, announcements)",Never,Less than 1 hour,3,Online test,"Maybe, if it's easy to use",Game-based interaction,No,"No, I prefer getting tested at a hospital",Under 18,Not sure,Yes,Maybe,Self-tested,No
Staying connected with the world,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,Less than 1 hour,5,I've never taken a hearing test,"No, I don't think it's necessary",Earphone calibration,No,"No, I prefer getting tested at a hospital",35 - 44,Occasionally,Maybe,No,Never,No
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Lack of awareness,"No, I usually hear things well",Never,2-4 hours,4,At a hospital or clinic,"Yes, that would be helpful","Game-based interaction, Earphone calibration",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Yes,Clinically-tested,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Doctor consultation",Yes,"Yes, definitely",18 - 24,Occasionally,Yes,Yes,Never,Yes
Staying connected with the world,Sometimes,Lack of awareness,"No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Game-based interaction, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"Yes, definitely",18 - 24,Not sure,No,No,Never,Yes
"Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"Yes, during important work or school meetings",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Not sure,Yes,Maybe,Never,No
Staying independent and alert,Never,"Fear, ","I'm not sure, but I have felt disconnected",Never,2-4 hours,2,I've never taken a hearing test,"Yes, that would be helpful",Quick tests,Yes,"Maybe, if it offers good value",18 - 24,Yes,Maybe,Yes,Never,Maybe
"Staying independent and alert, Staying connected with the world",Yes often,Lack of awareness,"Yes, in family conversations",Only in noisy places,1-2 hours,1,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in family conversations",Sometimes,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Never,Maybe
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Audio amplifier or sound booster",Yes,"Maybe, if it offers good value",35 - 44,Yes,Yes,Maybe,Never,Maybe
"Feeling close to loved ones, Staying connected with the world",Sometimes,Fear,"No, I usually hear things well",Never,2-4 hours,4,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Earphone calibration",Yes,"Yes, definitely",45 - 54,Occasionally,No,No,Never,Yes
"Staying independent and alert, Enjoying music, laughter, and life",Yes often,Shame,"Yes, during important work or school meetings","Yes, often",Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Yes,Never,No
Feeling close to loved ones,Sometimes,"Fear, Shame","Yes, in family conversations",Sometimes,1-2 hours,5,Online test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",45 - 54,Occasionally,Yes,Yes,Self-tested,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Rarely,"Fear, Lack of awareness","Yes, in family conversations","Yes, often",2-4 hours,2,I've never taken a hearing test,"No, I don't think it's necessary","Earphone calibration, Regular testing reminders, Doctor consultation, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,No,Never,No
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Doctor consultation, Personalized volume adjustments",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Maybe,Yes,Never,No
Staying independent and alert,Sometimes,"Fear, ","Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,4,At a hospital or clinic,"Yes, that would be helpful",Quick tests,Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Clinically-tested,Maybe
I haven't thought about it much,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,More than 4 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction",Yes,"Maybe, if it offers good value",Under 18,No,Maybe,Maybe,Never,Maybe
Staying connected with the world,Rarely,Fear,"No, I usually hear things well",I try to avoid such situations,Less than 1 hour,1,I've never taken a hearing test,"Maybe, if it's easy to use",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Never,No
Feeling close to loved ones,Sometimes,Lack of awareness,"Yes, in family conversations",Only in noisy places,2-4 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use",Game-based interaction,No,"Maybe, if it offers good value",18 - 24,Yes,Yes,Maybe,Never,Maybe
Peace and Calm to Brain soulfully ,Rarely,Lack of awareness,"No, I usually hear things well",I try to avoid such situations,1-2 hours,4,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Regular testing reminders, Detailed report generation, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Yes,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world, I haven't thought about it much",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,More than 4 hours,1,I've never taken a hearing test,"No, I don't think it's necessary","Audio amplifier or sound booster, Personalized volume adjustments",No,"Maybe, if it offers good value",18 - 24,Not sure,Maybe,No,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Regular testing reminders, Soft guidance",Yes,"Maybe, if it offers good value",35 - 44,Occasionally,No,Yes,Never,Maybe
Staying connected with the world,Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance, Report sharing options",Yes,"Maybe, if it offers good value",35 - 44,No,Yes,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,"Fear, Lack of awareness","No, I usually hear things well",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Regular testing reminders",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Never,No
Feeling close to loved ones,Sometimes,Fear,"I'm not sure, but I have felt disconnected",Sometimes,More than 4 hours,5,At a hospital or clinic,"Maybe, if it's easy to use","Regular testing reminders, Detailed report generation, Doctor consultation, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Maybe,Maybe,Clinically-tested,No
"Feeling close to loved ones, Enjoying music, laughter, and life",Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Never,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Game-based interaction, Earphone calibration, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Yes,Never,Maybe
Staying connected with the world,Yes often,Fear,"Yes, in public spaces (trains, shops, announcements)",Sometimes,1-2 hours,4,At a hospital or clinic,"Maybe, if it's easy to use","Game-based interaction, Detailed report generation, Doctor consultation, Audio amplifier or sound booster",No,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Clinically-tested,Maybe
Staying independent and alert,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",Only in noisy places,1-2 hours,5,At a hospital or clinic,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Yes, definitely",18 - 24,No,Maybe,Yes,Clinically-tested,Yes
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,2-4 hours,2,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Audio amplifier or sound booster, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Sometimes,Cost,"No, I usually hear things well","Yes, often",1-2 hours,5,At a hospital or clinic,"Maybe, if it's easy to use",Report sharing options,No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Maybe,Clinically-tested,No
"Enjoying music, laughter, and life",Sometimes,Fear,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,1,At a hospital or clinic,"Yes, that would be helpful",Detailed report generation,Yes,"Maybe, if it offers good value",18 - 24,Yes,Yes,Yes,Clinically-tested,Maybe
"Feeling close to loved ones, Enjoying music, laughter, and life, Staying connected with the world",Yes often,Fear,"Yes, in family conversations","Yes, often",Less than 1 hour,1,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"Yes, definitely",35 - 44,Yes,Yes,Yes,Never,Yes
Staying connected with the world,Never,Lack of awareness,"Yes, in family conversations",Sometimes,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use",Soft guidance,Yes,"Yes, definitely",45 - 54,Yes,Yes,Maybe,Never,Yes
Staying connected with the world,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Regular testing reminders, Doctor consultation, Soft guidance",No,"Maybe, if it offers good value",18 - 24,Occasionally,Maybe,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Yes often,Lack of awareness,"No, I usually hear things well",Only in noisy places,More than 4 hours,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,No,Yes,Never,Maybe
Staying connected with the world,Rarely,Lack of awareness,"No, I usually hear things well",Sometimes,Less than 1 hour,3,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Detailed report generation, Soft guidance",Yes,"Maybe, if it offers good value",35 - 44,Occasionally,No,Yes,Never,Maybe
I haven't thought about it much,Sometimes,Lack of awareness,"Yes, during important work or school meetings",Sometimes,More than 4 hours,2,Mobile app,"Maybe, if it's easy to use",Game-based interaction,No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Self-tested,No
"Staying independent and alert, Enjoying music, laughter, and life, Staying connected with the world",Sometimes,Time,"Yes, during important work or school meetings",Only in noisy places,1-2 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Earphone calibration, Doctor consultation, Personalized volume adjustments",Yes,"Maybe, if it offers good value",25 - 34,Occasionally,Yes,Yes,Never,Maybe
Staying independent and alert,Sometimes,"Fear, Cost","Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,1,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Maybe,Never,No
"Enjoying music, laughter, and life",Yes often,Cost,"Yes, in public spaces (trains, shops, announcements)","Yes, often",1-2 hours,1,Mobile app,"Yes, that would be helpful",Earphone calibration,Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Yes,Yes,Self-tested,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"Maybe, if it's easy to use","Detailed report generation, Personalized volume adjustments, Soft guidance",Yes,"No, I prefer getting tested at a hospital",35 - 44,Occasionally,Yes,Maybe,Never,No
"Feeling close to loved ones, Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)","Yes, often",More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Yes,Yes,Never,No
Feeling close to loved ones,Sometimes,Lack of awareness,"Yes, in family conversations",Sometimes,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Doctor consultation, Soft guidance",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Never,No
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Never,I think my hearing is good.,"No, I usually hear things well",Only in noisy places,Less than 1 hour,4,I've never taken a hearing test,"No, I don't think it's necessary",Personalized volume adjustments,Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,No,Never,No
Staying connected with the world,Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Doctor consultation",Yes,"Maybe, if it offers good value",35 - 44,No,Maybe,Maybe,Never,Maybe
Feeling close to loved ones,Sometimes,Shame,"I'm not sure, but I have felt disconnected","Yes, often",1-2 hours,1,Mobile app,"Maybe, if it's easy to use",Quick tests,Yes,"Yes, definitely",18 - 24,Occasionally,Maybe,Maybe,Self-tested,Yes
"Feeling close to loved ones, Staying connected with the world",Yes often,Lack of awareness,"Yes, in family conversations","Yes, often",1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration, Detailed report generation, Doctor consultation",No,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Maybe,Never,No
"Enjoying music, laughter, and life, Staying connected with the world",Rarely,Fear,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Quick tests,No,"Maybe, if it offers good value",18 - 24,No,Yes,Maybe,Never,Maybe
Staying connected with the world,Rarely,Lack of awareness,"No, I usually hear things well",Only in noisy places,1-2 hours,5,Mobile app,"Yes, that would be helpful",Doctor consultation,Yes,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,Yes,Self-tested,No
"Enjoying music, laughter, and life",Rarely,Cost,"Yes, during important work or school meetings",Only in noisy places,Less than 1 hour,5,Mobile app,"Yes, that would be helpful","Regular testing reminders, Soft guidance",Yes,"No, I prefer getting tested at a hospital",55 - 64,Occasionally,Yes,Yes,Self-tested,No
Feeling close to loved ones,Rarely,No necessity ,"No, I usually hear things well",Only in noisy places,Less than 1 hour,5,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,Yes,"No, I prefer getting tested at a hospital",55 - 64,No,No,Yes,Never,No
"Enjoying music, laughter, and life",Rarely,Cost,"No, I usually hear things well",Never,1-2 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,No,Maybe,Never,Maybe
"Enjoying music, laughter, and life, Staying connected with the world",Never,Lack of awareness,"No, I usually hear things well",Sometimes,1-2 hours,3,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Feeling close to loved ones, I haven't thought about it much",Sometimes,Lack of awareness,"I'm not sure, but I have felt disconnected","Yes, often",Less than 1 hour,2,I've never taken a hearing test,"Yes, that would be helpful",Soft guidance,Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Maybe,Yes,Never,No
Staying connected with the world,Rarely,Lack of awareness,"Yes, in family conversations",I try to avoid such situations,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Detailed report generation, Personalized volume adjustments, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,Not sure,Yes,Maybe,Never,Maybe
"Enjoying music, laughter, and life",Sometimes,Lack of awareness,"Yes, in public spaces (trains, shops, announcements)",Only in noisy places,Less than 1 hour,5,At a hospital or clinic,"Maybe, if it's easy to use","Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Soft guidance, It would be good to suggest some excercise for proper hearing along with these selected parameters ",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,Yes,Maybe,Clinically-tested,Maybe
Staying connected with the world,Never,Lack of awareness,"I'm not sure, but I have felt disconnected",Sometimes,2-4 hours,5,I've never taken a hearing test,"Yes, that would be helpful",Game-based interaction,Yes,"No, I prefer getting tested at a hospital",18 - 24,Yes,Maybe,Yes,Never,No
"Enjoying music, laughter, and life",Rarely,Lack of awareness,"No, I usually hear things well",Never,Less than 1 hour,5,I've never taken a hearing test,"Maybe, if it's easy to use",Earphone calibration,Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Maybe,Never,Maybe
"Feeling close to loved ones, Staying independent and alert, Enjoying music, laughter, and life",Never,Didn't feel the need to ,"No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"Yes, that would be helpful","Quick tests, Game-based interaction, Earphone calibration, Personalized volume adjustments",Yes,"Maybe, if it offers good value",18 - 24,Occasionally,No,Yes,Never,Maybe
Feeling close to loved ones,Rarely,Lack of awareness,"No, I usually hear things well","Yes, often",1-2 hours,3,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,No,No,Never,No
Staying independent and alert,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected",I try to avoid such situations,2-4 hours,5,Mobile app,"Maybe, if it's easy to use","Quick tests, Earphone calibration, Regular testing reminders, Doctor consultation, Personalized volume adjustments, Report sharing options",Yes,"Yes, definitely",18 - 24,Occasionally,Maybe,Maybe,Self-tested,Yes
Staying connected with the world,Sometimes,Lack of awareness,"Yes, in family conversations",Sometimes,1-2 hours,4,I've never taken a hearing test,"Maybe, if it's easy to use","Quick tests, Game-based interaction, Earphone calibration, Regular testing reminders, Detailed report generation, Doctor consultation, Audio amplifier or sound booster, Personalized volume adjustments, Soft guidance, Report sharing options, ",No,"No, I prefer getting tested at a hospital",18 - 24,Occasionally,Yes,Maybe,Never,No
Staying independent and alert,Rarely,Lack of awareness,"I'm not sure, but I have felt disconnected","Yes, often",2-4 hours,5,I've never taken a hearing test,"No, I don't think it's necessary","Quick tests, Earphone calibration, Soft guidance",Yes,"Maybe, if it offers good value",18 - 24,No,Maybe,No,Never,Maybe
Staying independent and alert,Sometimes,Lack of awareness,"Yes, during important work or school meetings",Never,2-4 hours,4,I've never taken a hearing test,"Yes, that would be helpful",Detailed report generation,Yes,"No, I prefer getting tested at a hospital",18 - 24,No,Yes,Yes,Never,No
I haven't thought about it much,Never,no hearing issues,"No, I usually hear things well",Never,More than 4 hours,5,I've never taken a hearing test,"Maybe, if it's easy to use","Game-based interaction, Regular testing reminders, Audio amplifier or sound booster",No,"Maybe, if it offers good value",Under 18,Occasionally,No,Maybe,Never,Maybe
